time_s,displacement_m
2.517006818181818373e-01,5.313572958824286672e-05
2.517233522727272965e-01,5.936218592227253047e-05
2.517460369318181845e-01,6.533479341976950903e-05
2.517687073863636438e-01,7.103402524715439481e-05
2.517913778409091030e-01,7.651585832735486497e-05
2.518140624999999910e-01,8.170999605948498705e-05
2.518367329545454503e-01,8.654353826484818130e-05
2.518594034090909095e-01,9.094098118693727485e-05
2.518820880681817975e-01,9.472528153463207227e-05
2.519047585227272568e-01,9.792377687494377403e-05
2.519274431818182003e-01,1.005690119305047804e-04
2.519501136363636595e-01,1.026271401897773674e-04
2.519727840909090633e-01,1.041176884863410511e-04
2.519954687500000068e-01,1.050237335644268951e-04
2.520181392045454660e-01,1.053335593238872845e-04
2.520408096590909253e-01,1.051083498432711167e-04
2.520634943181818133e-01,1.044561536017179376e-04
2.520861647727272725e-01,1.034563797224507961e-04
2.521088494318181605e-01,1.021272532501438305e-04
2.521315198863636198e-01,1.005156385853876624e-04
2.521541903409090790e-01,9.864626971738293980e-05
2.521768750000000225e-01,9.652305201284552523e-05
2.521995454545454818e-01,9.419675523908198421e-05
2.522222159090908855e-01,9.166607760718703372e-05
2.522449005681818290e-01,8.897007278431948900e-05
2.522675710227272883e-01,8.612696581515354242e-05
2.522902556818181763e-01,8.312243702173089126e-05
2.523129261363636355e-01,7.998903112668397639e-05
2.523355965909090948e-01,7.671893739658100498e-05
2.523582812499999828e-01,7.334470055405437723e-05
2.523809517045454420e-01,6.991839215531591453e-05
2.524036221590909013e-01,6.646214261175564472e-05
2.524263068181818448e-01,6.303062705739599582e-05
2.524489772727272485e-01,5.965769200377465785e-05
2.524716619318181920e-01,5.637978754023992745e-05
2.524943323863636513e-01,5.323076017832945397e-05
2.525170028409091105e-01,5.014812405058907072e-05
2.525396874999999985e-01,4.708110938971223931e-05
2.525623579545454578e-01,4.401930188445660089e-05
2.525850284090909170e-01,4.097311584606450074e-05
2.526077130681818050e-01,3.792562801876709727e-05
2.526303835227272643e-01,3.489766702504914884e-05
2.526530681818182078e-01,3.190225075396358031e-05
