relative_velocity_m_s,force_n
-1.180867996966872280e-03,-1.797161038961038848e+00
-1.999952180239572552e-03,-1.798588311688311681e+00
-3.202960726313874851e-03,-1.800741558441558476e+00
-5.306347048496085073e-03,-1.804441558441558513e+00
-7.959660616328412264e-03,-1.809370129870129906e+00
-1.117314852134465575e-02,-1.815651948051947961e+00
-1.462368581051071148e-02,-1.822927272727272729e+00
-1.797994985756534714e-02,-1.830763636363636371e+00
-2.098849593190460494e-02,-1.838771428571428501e+00
-2.336992000437210226e-02,-1.846483116883116837e+00
-2.435364079162199991e-02,-1.852701298701298738e+00
-2.202140275851710571e-02,-1.854470129870129824e+00
-1.671409248341682030e-02,-1.851557142857142901e+00
-1.067718929110628157e-02,-1.846468831168831093e+00
-7.091390393693275396e-03,-1.843589610389610334e+00
-4.002233865954329950e-03,-1.840663636363636391e+00
-1.109138356229888434e-03,-1.837368831168831207e+00
2.530416783368960587e-04,-1.835632467532467560e+00
2.396050087783485605e-03,-1.832332467532467479e+00
3.613404562005151366e-03,-1.829946753246753266e+00
4.446834673425215101e-03,-1.827866233766233695e+00
5.418258950834475840e-03,-1.825387012987012891e+00
5.208535144108294990e-03,-1.824476623376623419e+00
4.963971226167041007e-03,-1.823664935064934989e+00
4.111413210550418640e-03,-1.823829870129870079e+00
2.139189660001594717e-03,-1.825883116883116886e+00
-6.803385639048142863e-05,-1.828731168831168930e+00
-3.916841436505558161e-03,-1.834251948051948133e+00
-9.442756330994783731e-03,-1.842961038961038911e+00
-1.723874356995014345e-02,-1.855996103896103921e+00
-3.010089286324235669e-02,-1.877480519480519527e+00
-4.854565762417772934e-02,-1.907722077922077819e+00
-7.576876413244709729e-02,-1.944058441558441652e+00
-1.099332504457484760e-01,-1.951357142857142790e+00
-1.440854402492092734e-01,-1.925010389610389616e+00
-1.755235170750701901e-01,-1.911016883116883225e+00
-2.065687887254667454e-01,-1.899145454545454470e+00
-2.365961826168339610e-01,-1.890614285714285803e+00
-2.655462656182753234e-01,-1.883642857142857174e+00
-2.937660725630708569e-01,-1.877096103896103818e+00
-3.161805605842208378e-01,-1.869707792207792263e+00
-3.345945840705546459e-01,-1.861787012987012879e+00
-3.501886079667720919e-01,-1.853629870129870127e+00
-3.623696672427809684e-01,-1.845162337662337615e+00
-3.733320057656968616e-01,-1.836893506493506578e+00
-3.814661470252693198e-01,-1.828467532467532575e+00
-3.875351577710526851e-01,-1.820062337662337715e+00
-3.920042559586837672e-01,-1.811779220779220712e+00
-3.931505639316040801e-01,-1.803154545454545454e+00
-3.924865524002104089e-01,-1.794558441558441686e+00
-3.881636460517956522e-01,-1.785449350649350730e+00
-3.794747955705239373e-01,-1.775590909090908998e+00
-3.663687654987259901e-01,-1.764927272727272678e+00
-3.459695388125670346e-01,-1.752577922077922068e+00
-3.208744116461610951e-01,-1.739298701298701344e+00
-2.946097497660247200e-01,-1.726184415584415710e+00
-2.672541142072508702e-01,-1.713424675324675350e+00
-2.382097579636979767e-01,-1.701489610389610441e+00
-2.071692682893505610e-01,-1.692236363636363539e+00
-1.752079066558275278e-01,-1.689416883116883206e+00
-1.445048878626616351e-01,-1.714432467532467586e+00
-1.204494989172240071e-01,-1.746436363636363565e+00
-1.024439928133731859e-01,-1.762977922077922033e+00
-8.705354446896157450e-02,-1.770703896103896113e+00
-7.489024681827805008e-02,-1.775063636363636288e+00
-6.371135309428005433e-02,-1.776759740259740372e+00
-5.406064228769735802e-02,-1.777354545454545409e+00
-4.578235860721530104e-02,-1.777412987012987111e+00
-3.791464172752295747e-02,-1.776118181818181707e+00
-3.138177930497398904e-02,-1.774912987012986942e+00
-2.530183832822119339e-02,-1.772909090909090768e+00
-1.984492051672664958e-02,-1.770463636363636351e+00
-1.532527001086186891e-02,-1.768180519480519575e+00
-1.116426770868206297e-02,-1.765438961038961141e+00
-7.978788520524970895e-03,-1.763215584415584347e+00
-5.849442899790335826e-03,-1.761836363636363645e+00
-4.567873318623127954e-03,-1.761228571428571366e+00
-4.904661060369075454e-03,-1.762688311688311638e+00
-6.462902112950252853e-03,-1.765985714285714270e+00
-9.666826065868328044e-03,-1.771988311688311724e+00
-1.459704337252271111e-02,-1.781137662337662242e+00
-1.925673746268352637e-02,-1.790896103896103986e+00
-2.123237671041044994e-02,-1.797768831168831127e+00
-2.074393201396335096e-02,-1.801537662337662216e+00
-1.931070547809515814e-02,-1.803855844155844101e+00
-1.660547331315792574e-02,-1.804058441558441528e+00
-1.394191265379179923e-02,-1.803746753246753265e+00
-1.145118627162983183e-02,-1.803116883116883118e+00
-9.070445338598076557e-03,-1.802118181818181730e+00
-7.176782823142047185e-03,-1.801312987012986921e+00
-5.182698810654196020e-03,-1.799962337662337708e+00
-3.771332736724863910e-03,-1.799028571428571421e+00
