relative_velocity_m_s,force_n
-1.710984198984910609e-03,-1.838015584415584325e+00
-1.998797674593877360e-04,-1.836214285714285799e+00
1.784640292930239625e-03,-1.833268831168831214e+00
3.419392962297485017e-03,-1.830390909090909179e+00
4.133956811924854868e-03,-1.828533766233766178e+00
5.265235717262173321e-03,-1.825884415584415610e+00
5.316471174931503008e-03,-1.824612987012987020e+00
5.013840404965053121e-03,-1.823864935064935189e+00
4.538375357794333098e-03,-1.823448051948052040e+00
2.736253526707255190e-03,-1.825145454545454626e+00
7.264573072008895238e-04,-1.827567532467532452e+00
-2.629123600418004081e-03,-1.832262337662337703e+00
-7.772480410976612131e-03,-1.840163636363636446e+00
-1.459977593026517972e-02,-1.851499999999999924e+00
-2.590778300758961317e-02,-1.870403896103896013e+00
-4.224984458577835111e-02,-1.897676623376623350e+00
-6.695558227389791783e-02,-1.933981818181818246e+00
-9.970255425834967378e-02,-1.955627272727272770e+00
-1.350229124966697003e-01,-1.928220779220779280e+00
-1.664698701351932930e-01,-1.914529870129870082e+00
-1.976749964135179616e-01,-1.901659740259740161e+00
-2.282851082434435852e-01,-1.892363636363636470e+00
-2.568676622285375188e-01,-1.885064935064935110e+00
-2.863171201573952995e-01,-1.878649350649350680e+00
-3.101224800694069583e-01,-1.871493506493506542e+00
-3.296780295526119953e-01,-1.863744155844155870e+00
-3.460105271787024539e-01,-1.855655844155844170e+00
-3.590427781914566907e-01,-1.847268831168831227e+00
-3.703822096828183752e-01,-1.838966233766233804e+00
-3.793921356988175231e-01,-1.830619480519480424e+00
-3.859741841607290946e-01,-1.822206493506493441e+00
-3.909959421517525957e-01,-1.813929870129870059e+00
-3.930398953430384590e-01,-1.805407792207792239e+00
-3.928738924601900551e-01,-1.796812987012986973e+00
-3.898359713901204393e-01,-1.787932467532467484e+00
-3.824081963069482226e-01,-1.778306493506493613e+00
-3.709471659960514867e-01,-1.767993506493506395e+00
-3.524873721675331195e-01,-1.756092207792207871e+00
-3.282591489448911659e-01,-1.742941558441558403e+00
-3.017991091861760289e-01,-1.729618181818181721e+00
-2.754490548765908819e-01,-1.716937662337662207e+00
-2.466936666142926782e-01,-1.704588311688311819e+00
-2.162119849982580277e-01,-1.694254545454545458e+00
-1.846775855119788812e-01,-1.689203896103895985e+00
-1.525994070349699361e-01,-1.703855844155844235e+00
-1.268081607836975544e-01,-1.738774025974025861e+00
-1.071064194612762477e-01,-1.759257142857142853e+00
-9.123367467533793906e-02,-1.768979220779220762e+00
-7.818229575838719914e-02,-1.773937662337662369e+00
-6.677591660233772597e-02,-1.776325974025974030e+00
-5.675152852448711593e-02,-1.777228571428571380e+00
-4.797865189263778030e-02,-1.777263636363636268e+00
-4.020110941844334818e-02,-1.776594805194805282e+00
-3.306776743201050861e-02,-1.775057142857142889e+00
-2.704452702841170231e-02,-1.773502597402597303e+00
-2.136353948204378073e-02,-1.771116883116883089e+00
-1.647772623870263908e-02,-1.768636363636363562e+00
-1.240689834202057806e-02,-1.766274025974025941e+00
-8.707698298299704209e-03,-1.763572727272727292e+00
-6.399370145440341773e-03,-1.762089610389610428e+00
-4.862306415362394052e-03,-1.761231168831168814e+00
-4.585634943948369013e-03,-1.761866233766233858e+00
-5.918439982784851061e-03,-1.764770129870129933e+00
-8.528032626739401323e-03,-1.769801298701298764e+00
-1.306544475792953408e-02,-1.778151948051948095e+00
-1.813228995170212965e-02,-1.788187012987012992e+00
-2.092974594044383352e-02,-1.796001298701298765e+00
-2.105612673602813567e-02,-1.800583116883117007e+00
-1.985311818995383337e-02,-1.803296103896103952e+00
-1.747032783861518501e-02,-1.804072727272727272e+00
-1.469883114842573946e-02,-1.803790909090909000e+00
-1.215345361141656477e-02,-1.803242857142857147e+00
-9.744703961525658098e-03,-1.802351948051948094e+00
-7.723294371614175535e-03,-1.801506493506493500e+00
-5.727844080255173331e-03,-1.800270129870129798e+00
-4.189414071306130083e-03,-1.799268831168831184e+00
-2.765068348100530038e-03,-1.798105194805194706e+00
-1.758803959476196166e-03,-1.797242857142857142e+00
-1.295635422145946514e-03,-1.796948051948052072e+00
-1.155591837850022952e-03,-1.797020779220779296e+00
-1.874254524090845919e-03,-1.798300000000000010e+00
-2.993920059023269520e-03,-1.800305194805194908e+00
-4.981172677155087936e-03,-1.803794805194805173e+00
-7.531332190213402278e-03,-1.808507792207792120e+00
-1.069153521925364503e-02,-1.814624675324675307e+00
-1.413250855632147696e-02,-1.821789610389610292e+00
-1.751336562305727540e-02,-1.829562337662337779e+00
