time_s,displacement_m
2.563945596590909148e-01,1.046742856715615416e-04
2.564172443181818029e-01,1.070534693440598257e-04
2.564399005681818333e-01,1.094363264859443457e-04
2.564625710227272926e-01,1.117922448523297124e-04
2.564852556818181806e-01,1.140918366881258218e-04
2.565079403409090686e-01,1.163559183198547496e-04
2.565306107954545278e-01,1.185012244414280987e-04
2.565532954545454714e-01,1.205302040324366704e-04
2.565759659090909306e-01,1.223620407663828554e-04
2.565986505681818186e-01,1.238681632147476937e-04
2.566213068181817936e-01,1.249432652551252373e-04
2.566439772727272528e-01,1.253081632141599610e-04
2.566666619318181963e-01,1.248832652551497171e-04
2.566893465909090843e-01,1.236489795413677698e-04
2.567120170454545436e-01,1.217963264808994957e-04
2.567347017045454316e-01,1.191416326044320034e-04
2.567573721590908908e-01,1.159004081159590080e-04
2.567800568181818344e-01,1.119453060767570382e-04
2.568027130681818093e-01,1.073706122010732527e-04
2.568253835227272686e-01,1.023477550602662381e-04
2.568480681818181566e-01,9.689510200126730916e-05
2.568707528409091001e-01,9.113755098320917673e-05
2.568934232954545593e-01,8.510571425097725716e-05
2.569161079545454474e-01,7.883999996782041606e-05
2.569387784090909066e-01,7.241142854187289477e-05
2.569614630681817946e-01,6.585795915679267627e-05
2.569841193181818251e-01,5.920775507787440271e-05
2.570067897727272843e-01,5.257224487650113363e-05
2.570294744318181723e-01,4.593673467512785099e-05
2.570521590909091159e-01,3.944816324920484340e-05
2.570748295454545196e-01,3.315918365993501024e-05
2.570975142045454631e-01,2.720081631542824174e-05
2.571201988636363511e-01,2.176530611356515589e-05
2.571428693181818104e-01,1.691510203391223004e-05
2.571655255681818408e-01,1.267714285196852610e-05
2.571881960227272446e-01,9.026938771825758080e-06
2.572108806818181881e-01,6.095510201593680702e-06
2.572335653409090761e-01,3.831428569864746995e-06
2.572562357954545353e-01,2.332653060272353388e-06
2.572789204545454789e-01,1.514693876932806572e-06
2.573016051136363669e-01,1.169387754624720491e-06
2.573242471590909131e-01,1.233061223986511898e-06
2.573469318181818011e-01,1.602857142202947297e-06
2.573696022727272603e-01,2.249387754183910182e-06
2.573922869318182038e-01,3.135918366066946348e-06
2.574149715909090919e-01,4.233061222762008958e-06
2.574376420454545511e-01,5.513877548769829419e-06
2.574603267045454391e-01,6.963673466545454508e-06
2.574830113636363826e-01,8.562857139362094997e-06
2.575056534090909288e-01,1.028448979172061951e-05
2.575283380681818168e-01,1.213836734198435532e-05
2.575510085227272761e-01,1.407918366772277318e-05
2.575736931818181641e-01,1.611795917709472637e-05
2.575963778409091076e-01,1.822285713541925049e-05
2.576190482954545669e-01,2.036571427740175758e-05
2.576417329545454549e-01,2.253795917447431427e-05
2.576644176136363429e-01,2.468938774502475476e-05
2.576870596590908891e-01,2.680040815232636689e-05
2.577097443181818326e-01,2.882938774333492843e-05
2.577324147727272918e-01,3.073224488541542938e-05
2.577550994318181798e-01,3.253469386427155130e-05
2.577777840909090679e-01,3.431877549619641256e-05
2.578004545454545271e-01,3.611999998525713382e-05
2.578231392045454706e-01,3.795918365797585161e-05
2.578458238636363586e-01,3.987183671841967983e-05
2.578684659090909048e-01,4.183469386047566706e-05
2.578911505681817928e-01,4.386244896168883133e-05
2.579138210227272521e-01,4.593428569553700223e-05
2.579365056818181956e-01,4.805020406202034915e-05
2.579591903409090836e-01,5.021265304072953790e-05
2.579818607954545429e-01,5.239714283575627740e-05
2.580045454545454309e-01,5.462204079403183509e-05
2.580272301136363744e-01,5.684938773189820765e-05
2.580498721590909206e-01,5.909510201669588154e-05
2.580725568181818086e-01,6.132857140353938617e-05
2.580952414772727521e-01,6.354122446386072716e-05
2.581179119318181558e-01,6.572448976909207278e-05
2.581405965909090994e-01,6.784530609475704268e-05
2.581632670454545586e-01,6.991224486942358382e-05
2.581859517045454466e-01,7.189102037882001684e-05
2.582086079545454771e-01,7.380367343926381117e-05
